0	67.1
0.05	67.1
0.1	66.8
0.15	66.8
0.2	66.5
0.25	66.7
0.3	66.2
0.35	67
0.4	66.5
0.45	67.1
0.5	67.1
0.55	66.9
0.6	66.4
0.65	66.4
0.7	66.6
0.75	66.3
0.8	66.9
0.85	67.1
0.9	66.8
0.95	66.2
1	66.9
1.05	67.2
1.1	66.6
1.15	66.3
1.2	66.8
1.25	66.3
1.3	66.8
1.35	66.5
1.4	66.3
1.45	66.4
1.5	66.8
1.55	66.2
1.6	66.2
1.65	66.3
1.7	66.8
1.75	66.6
1.8	66.8
1.85	66.9
1.9	66.3
#
1.95 0
3.05 0
#
3.1	69.3
3.15	70.1
3.2	70.2
3.25	69.5
3.3	69.7
3.35	70.1
3.4	69.9
3.45	69.2
3.5	69.2
3.55	69.3
3.6	69.9
3.65	69.9
3.7	69.3
3.75	69.6
3.8	70.1
3.85	69.8
3.9	69.4
3.95	69.6
4	69.8
4.05	69.9
4.1	69.5
4.15	69.6
4.2	70.1
4.25	70.1
4.3	69.8
4.35	69.2
4.4	69.8
4.45	69.4
4.5	69.3
4.55	69.2
4.6	69.2
4.65	69.5
4.7	70.1
4.75	69.2
4.8	69.8
4.85	69.6
4.9	70.1
4.95	69.4
5	69.7
#
5.03 49
#
5.05	71.7
5.1	72.4
5.15	71.6
5.2	72
5.25	71.9
5.3	71.9
5.35	72.4
5.4	72.2
5.45	71.7
5.5	72.5
5.55	71.9
5.6	71.8
5.65	71.8
5.7	71.7
5.75	72.1
5.8	71.6
5.85	71.5
5.9	72.5
5.95	72.2
6	72.2
6.05	72.4
6.1	71.8
6.15	71.7
6.2	72.2
6.25	71.8
6.3	71.6
6.35	71.8
6.4	72.1
6.45	71.5
6.5	71.7
6.55	72.5
6.6	71.7
6.65	71.6
6.7	71.6
6.75	72.3
6.8	72
6.85	72
6.9	72.1
6.95	71.7
7	72.3
#
7.05 0
8.05 0
#
8.1	74.6
8.15	75.1
8.2	74.6
8.25	74.9
8.3	75.3
8.35	75
8.4	75.1
8.45	75.4
8.5	75
8.55	74.6
8.6	75.3
8.65	75.1
8.7	74.5
8.75	75.5
8.8	74.7
8.85	74.5
8.9	75.5
8.95	75.1
9	75.3
9.05	75.1
9.1	75.1
9.15	75.1
9.2	75.5
9.25	74.6
9.3	75.4
9.35	74.5
9.4	74.7
9.45	75.4
9.5	74.8
9.55	75
9.6	74.6
9.65	74.9
9.7	74.6
9.75	74.8
9.8	75.4
9.85	75.5
9.9	75.3
9.95	75
10	75.4
10.05	74.8
10.1	75.1
#
10.12 53
#
10.15	78.4
10.2	78.2
10.25	78.1
10.3	77.6
10.35	78.2
10.4	78.1
10.45	78.3
10.5	77.9
10.55	77.7
10.6	77.8
10.65	77.5
10.7	77.6
10.75	78
10.8	78.5
10.85	77.6
10.9	78.2
10.95	78.4
11	78
11.05	77.7
11.1	78.5
11.15	78.5
11.2	77.8
11.25	77.7
11.3	78.3
11.35	77.8
11.4	77.5
11.45	77.8
11.5	77.6
11.55	77.8
11.6	78.4
11.65	78.2
11.7	77.7
11.75	78.1
11.8	77.8
11.85	77.8
11.9	77.8
11.95	78.4
12	77.6
12.05	78.3
12.1	77.5
12.15	77.9
12.2	78.3
12.25	77.7
12.3	78.4
12.35	78.3
12.4	77.9
12.45	78
12.5	78.1
12.55	78.4
12.6	78.2
12.65	78.1
12.7	78.4
12.75	78.5
12.8	78.4
12.85	78.2
12.9	77.7
12.95	78.4
13	78.5
